Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar
13,25,9,2020,billymambrasar,Menjalankan tugas saya harus travel ke beberapa tempat selama 2 minggu kedepan tentunya dengan mengikuti secara KETAT Protokol KESEHATAN  Pagi ini saya mendarat di Provinsi Pertama dalam rangkaian kunjunan kerja berama Tim kerja saya Saya sangat Salut untuk Pemerintah Daerah salah satu Provinsi di Indonesia ini yg mendorong seluruh penumpang untuk harus di test Swab saat mendarat di Bandara  Selain itu SWABnya juga diberikan gratis Setelah ketahuan hasilnya maka kita akan diberikan Inisiatif baik seperti ini merupakan sebuah pioneer langkah yang patut kita apresiasi dengan baik Juga dapat dicontoh di berbagai daerah lain di Indonesia  Temanteman bisakah menebak saya sedang di Provinsi apa Dan teman2 dari Provinsi kece ini atau memiliki darah dari sini bisakah mengacungkan jempol dan mengisi kolom komentar dibawah ini  Buat semua yg udh buat appointment see u soon lawancovid19 demiindonesiamaju,https://www.instagram.com/p/CFjKL4BB2VL,1386,111
14,19,9,2020,billymambrasar,OTW ke Bandung sambil Karaoke2 Ceria Iseng2  cover lagu ini sebuah lagu klasik dari Josh Groban,https://www.instagram.com/p/CFTzbLbAYs1,465,47
19,18,9,2020,billymambrasar,PENGUMUMAN GRATIS SMART PHONE Wow 250 orang memberikan masukan atas pertanyaan saya terkait rendahnya literasi dan minat baca Semua masukan tersebut akan menjadi rekomendasi kebijakan yang akan saya sampaikan kepada Direktorat di kementerian terkait Selamat untuk kalian semua saya baca satu per satu loh kawan2 semua masukan masukan teman2 semua Dan semuanya menjadi masukan untuk saya sebagai orang yg memiliki ketertarikan mendalam akan pendidikan  Selamat saya ucapkan kepada 6 Finalis beruntung yg telah memberikan masukan terkait apa kebijakan pemerintah ide inovatif masyarakat dan hal apa yg bisa dikerjakan bersama oleh berbagai pemangku kepentingan untuk menyelesaikan permasalahan Rendahnya literasi dan minat baca di Indonesia  6 Orang ini memberikan masukan yang sangat baik sekali dengan kriteria sbb 1 ACTUAL DAN LUGAS  Fakta yang dipaparkan riil dan menyentuh langsung  Esesensi Persoalan   2  INSPIRATIF  a Berdasarkan Pengalaman Praktis  b  Membuka Mata Menyentuh dan membuat tergugah  c  Menyampaikan fakta dengan santun tanpa menyinggung pihak manapun    3 BERDAMPAK TERHADAP KEBIJAKAN  Solusi yang dikemukan Praktis Simple dan Menyentuh Persoalan serta dapat diterapkan dalam implementasi kebijakan    4 OUT OF THE BOX  Berpikir dari Sudut Pandang Berbeda  Mereka adalah westin_wairara  isha_m2  nehemnya  jessicahristy  revakadang_  meithaandarini  Saya akan mengadakan diskusi head to head dengan 6 orang ini dan mereka akan mendapat Privillege utk memberikan masukan lebih mendalam lagi terkait pergerakan literasi yg sedang saya dorong  Dari interaksi terakhir tersebut maka tim kami akan memilih 1 penerima give away Smartphone dengan quota yg sudah tersedia  Asyik kan Sambil kita bermain sambil kita memikirkan permasalahan negara sambil kita jg mendapat hadiah dalam sebuah kompetisi adu ide ini  Dengan kerendahan hati saya saya mengucapkan terimakasih yg mendalam utk semua yang sudah memberikan sumbangsih ide Masukan anda semua sangat berharga bagi pembangunan Indonesia kita  Salam Literasi dan salam Pembangunan,https://www.instagram.com/p/CFRzOksBTFU,235,21
12,17,9,2020,billymambrasar,Selama masa Covid19 semangat dari anakanak Papua di Tangerang tetap terjaga Mereka mengusahakan lahan kosong dengan menanam berbagai sayuran tanaman ubi2an dan berbagai sumber makanan  Adik2 menamakan kebun ini sebagai Kebun Korona yang memberikan sebuah pesan optimisme bahwa ditengah krisis semangat dan daya juang akan tetap menghasilkan sebuah kreatifitas dan inovasi  Salut dengan semangat adikadiku ini dan saya merasa terhormat atas undangan yang diberikan kepada kami hari ini utk menghadiri acara bakar batu dan ibadah syukur bersama,https://www.instagram.com/p/CFOcX9wgK_Z,455,19
18,11,9,2020,billymambrasar,,https://www.instagram.com/p/CE_ninJg2j_,339,49
15,9,9,2020,billymambrasar,Pada tahun 2019 bersama dengan Putri Indonesia Lingkungan Hidup vaniafherlambang dan juga Putri Sulung Presiden Abdurrahman Wahid Gus Dur Bunda alissa_wahid ditunjuk oleh Menteri Bappenas RI menjadi Duta Tujuan Pembangunan Berkelanjutan Indonesia  Hari ini kami berkesempatan untuk dijamu oleh Menteri PPNBappenas RI  suharsomonoarfa  untuk memaparkan apa yang sudah sedang dan akan kerjakan  Vania sudah bekerja menjadi advocate dalam bidang lingkungan hidup dengan berkeliling Indonesia mendorong isu perlindungan lingkungan Indonesia Bunda Alissa Wahid mendorong isu toleransi dan pencegahan pernikahan dini di seluruh Indonesia Saya masih fokus dalam isu pendidikan pembangunan manusia dan juga pembinaan kewirausahaan di wilayah terluar dan daerah Indonesia Timur  Dalam paparan Pak Menteri atas apa yg kami kerjakan Beliau menyampaikan dukungan penuhnya atas programprogram yang kami paparkan dan beliau memberikan petuah dan wejangan kedepannya  Temanteman tau kan Apa itu Sustainable Development Goals SDGs sdgs_indonesia sdgawareness  Yang sudah tau apa itu boleh komentar dibawah sini yaaah  Tau kah temanteman bahwa ternyata angka pencapaian SDGs kita masih pas banget dengan angka ratarata global Bahkan masih dibawah ratarata negara lain  di dunia Dan skor paling rendah kita adalah salah satunya Perlindungan Kehidupan di Daratan Life on Land termasuk perlindungan hutan  Juga tingkat penjagaan perdamaian dan keberagaman  Menurut temanteman apa faktorfaktor yg membuat dua hal diatas rendah Apa yang harus kami duta SDGs Indonesia kerjakan untuk membantu negara kita meningkatkan pencapaian skor SDGs yg lebih baik khususnya di dua hal diatas  Saya tunggu respons temanteman semua dibawah yah untuk Indonesia kita yang lebih baik tentunya ,https://www.instagram.com/p/CE6JzrJhjz9,880,11
7,8,9,2020,billymambrasar,Rapat kordinasi kerja mengenai Promosi Pangan berfokus kepada SAGU yang akan dilakukan pada bulan depan Rapat ini disinergikan bersama Deputi Pangan Kemenko Ekonomi dengan saya hadir sebagai undangan untuk memberikan input dan masukan bersama beberapa kepala daerah provindi di Indonesia termasuk Kepala Dinas Perindagkop Provinsi Papua dan Kepala Dinas Tenaga Kerja Kabupaten Mimika bersama beberapa pimpinan yang terkait  Festival Sagu tersebut akan diadakan pada Bulan Depan 1617 Oktober 2020 dengan keterlibatan 14 Provinsi penghasil Sagu di Indonesia termasuk Provinsi Papua dan Papua Barat Tugas saya adalah bagaimana mendorong inovasi berbasis pangan yang digerakkan oleh anakanak muda Indonesia  Banyak yg berpikir Indonesia hanyalah identik dengan beras  nasi padahal banyak sekali daerah yang bergantung kepada sagu sebagai sumber utama pangannya  Salah satu bentuk ketahanan Nasional sebuah Negara selain ketahanan Energi dan Keamanan Negara adalah Ketahanan Pangan Oleh sebab itu  berdasarkan FAO salah satu kriteria pengukuran ketahanan Pangan Food Security Multidimensional Index adalah beragamnya jenis Pangan yang dipergunakan untuk memenuhi kebutuhan masyarakat   Artinya bahwa semakin beragam semakin tinggi ketahanan Pangan negara tersebut Semakin kita hanya bergatung sama satu saja jenis sumber pangan semakin lemah ketahanan pangan kita  Bayangkan saja guys tiba2 misalnya ada sejenis Hama berbahaya yang mematikan semua ladang padi di Indonesia dan kita kehilangan beras sebagai sumber pangan maka dipastikan kita akan mengalami kelaparan nasional   Oleh sebab itu yang paling ideal adalah kita mengembangkan berbagai jenis sumber pangan yang berbeda untuk memastikan ketahanan pangan kita  Selama periode orde baru fokus pengembangan pangan hanyalah ke Beras dan Nasi dan sumber pangan lain seperti Sagu dan umbi umbian hampir terlupakan Sekarang saatnya kita promosikan kekayaan daerah kita termasuk keberagaman sumber nutrisi  Buat temanteman yang secara tradisional berasal dari Provinsi atau kabupaten yg sumber makanannya sejak dahulu kala sebelum promosi bisa tulis di kolom komentar dibawah ini,https://www.instagram.com/p/CE2xLalBQ_v,1554,70
20,6,9,2020,billymambrasar,,https://www.instagram.com/p/CEy9YuygK2y,367,25
10,6,9,2020,billymambrasar,Cover Lagu kali ini untuk menemani hari minggu penuh percintaan kalian semua ijinkan saya bawa lagu yang Berjudul Bahasa Kalbu dinyanyikan oleh Titi DJ  Pada Tahun 2000  Lagu ini merupakan soundtrack dari Sinetron Cinta yg diperankan oleh Dessy Ratnasari Sebagai Tokoh Utama Wanita bersama dengan Atallarik Syah dan Primus Yustision   Dalam sinetron tersebut terjadi hubungan percintaan yang rumit antara Dessy Ratnasari yang jatuh cinta sama Primus Yustisio Adik dari Attalarik Syah padahal Dessy sudah Bertunangan dengan Attalarik   Coba temanteman yang angkatan 90an dan dulu pernah nonton sambil menangis terharu Nonton Sinteron ini tulis di kolom komentar   Terimakasih untuk sahabat SMA saya dr melfrits_siwabessy_  yang sudah mengiringi saya nyanyi Jam live di rumah dan di mini studionya di Sorong ,https://www.instagram.com/p/CEx7LRlhdho,443,50
12,5,9,2020,billymambrasar,Guys untuk weekend kali ini saya akan menghabiskannya dengan menulis sisa chapter novel saya dsn menyelesaikan buku bacaan saya yg berjudul Why Nations Fail  The Origins of Power Prosperity and Poverty Oleh Acemoglu dan Robinson  Hampir setiap menit sebuah ponton dengan muatan batu bara ditarik boat menyusuri sungai besar Indonesia ini  Saya penasaran seperti pakah pemandangan ini ratusan tahun lalu Sebelum industri mengerayapi sebuah Pulau Besar Nusantara ini   Semilir angin siang berbau daun dalam balur lumpur segar menyentuh menggelitik hidung  Sepotong bebek rica manis tadi sudah menemani makan siangku dan bisik aliran air sungai ini seperti berkata Yuk Billy tidur sejenak agar sebentar Pukul 3 nanti bisa mengisi acara dengan segar  Boleh temanteman ikutan nebak di Kota Manakah saat ini saya berada,https://www.instagram.com/p/CEvkSpyguOL,303,65
16,31,8,2020,billymambrasar,Graceshella Tridasalin Octavia Mambrasar vs Gracia Josaphat Jobel Mambrasar  SIBLINGS  Adik beradik ini Sama sama bacot sama2 bukan pendengar yang baik sama2 sabaran sama2 tukang marah sama2 pemimpi besar dan sama2 sayang ortu  Klo persamaan dalam hal2 yang baik kata orang banyak Tapi kalau saya tulis nanti disangka RIA menyombongkan diri   Intinya sih  jarang2 saya posting foto sama sibling yaaah tapi saya mau skalian promosi buat pria2 lajang saya open endorse adik saya ini graceisaschar   Thanks for taking care of our parents yaaah billysdiary billymambrasar sellymambrasar adikkakak siblings siblinglove siblinggoals siblinggoals,https://www.instagram.com/p/CEjE7pzhREE,2098,70
9,29,8,2020,billymambrasar,Lembaga Pemasyarakatan Serui Papua Menemani Papa pelayanan,https://www.instagram.com/p/CEdLIN_grzy,409,32
7,27,8,2020,billymambrasar,Temanteman ijinkan saya memperkenalkan makanan tradisional khas Papua juga Maluku Papeda dan Ikan Kuah Kuning dengan Umbiumbian sayuran dan beberapa hidangan pelengkap lainnya  Papeda terbuat dari sari tepung sagu yang kemudian diolah dengan air panas secara khusus dan akhirnya berbentuk seperti Jelly Makannya harus ditemani dengan ikan yang berkuah kuning panas Makanan ini sudah sangat common dikonsumsi oleh masyarakat di Tanah Papua dan Maluku  Papeda mengandung kadar gula yg rendah dan serat yang tinggi Akan tetapi Papeda memiliki energi yang cukup untuk membantu kita beraktifitas seharihari  Papeda juga mengandung antioksidan yg tinggi untuk menjaga kesehatan kulit dan antibodi untuk tubuh  Temanteman kalian Ada yang ingin mencobanya kah  atau mungkin temanteman sudah pernah mencobanya billymambrasar billysdiary diarybilly diarybillymambrasar papeda papua papuabarat maluku,https://www.instagram.com/p/CEX3DXwB-JH,1811,186
